document_id,timestamp,volume,absolute_value
eslevu232083_BR2294_ID735,2020-10-12T15:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T15:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T15:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T15:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T16:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T16:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T16:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T16:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T17:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T17:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T17:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T17:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T18:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T18:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T18:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T18:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T19:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T19:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T19:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T19:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T20:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T20:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T20:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T20:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T21:00:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T21:15:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T21:30:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T21:45:00+00:00,0.0,0.0
eslevu232083_BR2294_ID735,2020-10-12T22:00:00+00:00,0.0,0.0
